epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,209.667,1.23386,1.72146,1.57406,0.79463,0.81581,0.8496,0.4224,1.73606,0.98853,2.20771,0.00996454,0.00332151,0.00996454,0.00332151,0.00996454,0.00332151,0.00996454,0.00332151
2,413.003,1.11241,1.05838,1.4313,0.70359,0.77796,0.78775,0.46241,1.46917,1.05773,1.8028,0.0198328,0.00661092,0.0198328,0.00661092,0.0198328,0.00661092,0.0198328,0.00661092
3,603.939,1.14842,1.10332,1.47606,0.3641,0.11197,0.02691,0.01196,2.61374,9.11301,3.10968,0.029569,0.00985634,0.029569,0.00985634,0.029569,0.00985634,0.029569,0.00985634
4,793.377,1.16971,1.1137,1.52451,0.64591,0.66529,0.71334,0.39716,1.61701,1.41706,2.20855,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,982.466,1.1129,0.99054,1.48529,0.77687,0.77249,0.82219,0.54008,1.29981,0.924,1.78141,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1171.48,1.08009,0.94978,1.47561,0.79636,0.82976,0.85002,0.62565,0.99386,0.69446,1.52629,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1360.58,1.07054,0.93381,1.47301,0.80863,0.82539,0.84714,0.62399,1.02553,0.69303,1.54094,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1549.02,1.03939,0.87569,1.43481,0.84995,0.82271,0.85127,0.58748,1.17025,0.7419,1.65824,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1737.61,1.03021,0.85929,1.43869,0.84416,0.83266,0.86064,0.59162,1.16828,0.67471,1.67093,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1926.08,1.00544,0.82799,1.42138,0.83679,0.82258,0.86306,0.59525,1.12379,0.68272,1.63346,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2114.43,1.00252,0.82274,1.41199,0.83821,0.81789,0.86362,0.61665,1.07405,0.65119,1.57945,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2302.52,0.99025,0.79295,1.4024,0.86627,0.83644,0.87061,0.63477,1.03192,0.60508,1.54337,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2490.96,0.99219,0.80611,1.40448,0.83626,0.84395,0.86943,0.6477,0.96828,0.62015,1.47888,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2680.05,0.96759,0.78433,1.38391,0.86841,0.83418,0.88134,0.66096,0.94316,0.57852,1.46173,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2868.97,0.97834,0.7636,1.38806,0.82115,0.87692,0.87989,0.66929,0.92312,0.566,1.43795,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,3058.16,0.96146,0.75306,1.37505,0.85745,0.84502,0.87325,0.66398,0.94124,0.58212,1.44523,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,3247.04,0.9513,0.75383,1.3747,0.85328,0.81413,0.86109,0.65392,0.91291,0.60922,1.45144,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,3435.75,0.94826,0.73598,1.37907,0.84981,0.85773,0.87483,0.65883,0.94409,0.58249,1.46234,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,3624.1,0.96351,0.73661,1.37698,0.81692,0.87647,0.8805,0.66979,0.93842,0.54208,1.43825,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,3809.11,0.93936,0.73316,1.36924,0.85174,0.85449,0.88021,0.67562,0.89074,0.54399,1.42501,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,3998.4,0.94409,0.71509,1.37613,0.83548,0.86688,0.88416,0.67338,0.90849,0.55287,1.42055,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,4182.26,0.93746,0.7214,1.36991,0.81349,0.83363,0.8831,0.67242,0.91088,0.60828,1.44636,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,4370.75,0.92968,0.70901,1.36217,0.88055,0.84396,0.89319,0.68283,0.9145,0.52902,1.43263,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,4554.66,0.93138,0.6956,1.35844,0.86426,0.8629,0.89494,0.68924,0.86955,0.52015,1.40018,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,4740.46,0.92856,0.69478,1.37023,0.84551,0.88503,0.88834,0.67548,0.91691,0.53585,1.44107,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,4925.41,0.92578,0.67973,1.35746,0.86292,0.87059,0.89324,0.67603,0.94445,0.52769,1.44997,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,5108.86,0.92099,0.68485,1.35448,0.85733,0.86007,0.88183,0.6884,0.8801,0.52392,1.41686,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,5296.1,0.9137,0.68074,1.34862,0.87977,0.85256,0.89842,0.69794,0.87505,0.5106,1.4036,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,5485.06,0.91961,0.69054,1.35814,0.86796,0.8886,0.89955,0.69823,0.8687,0.49487,1.40388,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,5674.24,0.90397,0.65797,1.33917,0.88121,0.84922,0.8737,0.65031,0.98186,0.5575,1.48897,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,5862.42,0.9097,0.67615,1.34328,0.85376,0.87987,0.88766,0.69111,0.86857,0.50206,1.39645,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,6050.44,0.91117,0.68516,1.34376,0.86356,0.87122,0.88901,0.68781,0.88133,0.53431,1.40664,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,6239.22,0.90918,0.66521,1.33581,0.83481,0.90355,0.88929,0.68504,0.90041,0.52142,1.41386,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,6427.6,0.90746,0.65818,1.34415,0.87546,0.86959,0.89708,0.68896,0.89349,0.50785,1.40783,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,6615.14,0.89407,0.65822,1.33684,0.87576,0.87796,0.891,0.69299,0.8792,0.49696,1.39477,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,6804.18,0.89186,0.65031,1.33121,0.8414,0.88933,0.8906,0.68873,0.8602,0.51087,1.38992,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,6991.87,0.89945,0.65735,1.34124,0.84631,0.8903,0.88907,0.68441,0.87424,0.50726,1.40044,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,7180.64,0.89495,0.65069,1.33083,0.85239,0.8823,0.89314,0.69789,0.86711,0.50036,1.40146,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,7369.77,0.90048,0.64929,1.34385,0.87924,0.87321,0.8973,0.69981,0.87513,0.48139,1.38737,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,7559.46,0.88644,0.63918,1.32551,0.86576,0.87324,0.89503,0.69611,0.86548,0.50254,1.40192,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
