epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,223.992,1.36771,3.80256,1.65964,0.733,0.8127,0.79484,0.2612,2.33598,2.2954,3.07868,0.00597842,0.00199281,0.00597842,0.00199281,0.00597842,0.00199281,0.00597842,0.00199281
2,449.823,1.14743,2.14143,1.43581,0.76717,0.78831,0.81535,0.3419,2.0546,2.13237,2.76647,0.0119186,0.00397286,0.0119186,0.00397286,0.0119186,0.00397286,0.0119186,0.00397286
3,662.883,1.15216,2.08074,1.42145,0.77229,0.7854,0.79951,0.55373,1.08815,1.82851,1.51224,0.0177988,0.00593294,0.0177988,0.00593294,0.0177988,0.00593294,0.0177988,0.00593294
4,863.719,1.15666,2.07444,1.42396,0.74668,0.77004,0.78127,0.52533,1.22393,1.8737,1.62037,0.0236191,0.00787303,0.0236191,0.00787303,0.0236191,0.00787303,0.0236191,0.00787303
5,1064.65,1.18177,2.21665,1.44109,0.83626,0.66713,0.73962,0.4886,1.27124,2.26513,1.72717,0.0293794,0.00979315,0.0293794,0.00979315,0.0293794,0.00979315,0.0293794,0.00979315
6,1265.35,1.20697,2.26857,1.46207,0.73867,0.7864,0.79495,0.53526,1.24047,2.00276,1.63599,0.0292507,0.00975025,0.0292507,0.00975025,0.0292507,0.00975025,0.0292507,0.00975025
7,1466.25,1.17746,2.11855,1.45756,0.82082,0.80639,0.82323,0.53869,1.29537,1.75422,1.70199,0.0291009,0.0097003,0.0291009,0.0097003,0.0291009,0.0097003,0.0291009,0.0097003
8,1667.49,1.1512,2.01615,1.43751,0.82396,0.80713,0.83335,0.53647,1.32931,1.62033,1.7329,0.028951,0.00965035,0.028951,0.00965035,0.028951,0.00965035,0.028951,0.00965035
9,1868.64,1.12448,1.98573,1.41621,0.74887,0.81584,0.84472,0.49094,1.51243,2.33701,1.88859,0.0288012,0.0096004,0.0288012,0.0096004,0.0288012,0.0096004,0.0288012,0.0096004
10,2069.04,1.09666,1.87632,1.39094,0.82253,0.8223,0.83964,0.55389,1.2328,1.54268,1.61701,0.0286513,0.00955045,0.0286513,0.00955045,0.0286513,0.00955045,0.0286513,0.00955045
11,2269.22,1.08466,1.80817,1.38001,0.78756,0.83513,0.84899,0.59065,1.1121,1.55028,1.53832,0.0285015,0.0095005,0.0285015,0.0095005,0.0285015,0.0095005,0.0285015,0.0095005
12,2469.98,1.08612,1.81722,1.39015,0.82408,0.83519,0.85835,0.57131,1.25488,1.45279,1.62566,0.0283516,0.00945055,0.0283516,0.00945055,0.0283516,0.00945055,0.0283516,0.00945055
13,2671.23,1.06962,1.78833,1.37849,0.85146,0.82768,0.85516,0.61804,1.04533,1.40997,1.48052,0.0282018,0.0094006,0.0282018,0.0094006,0.0282018,0.0094006,0.0282018,0.0094006
14,2872.29,1.07038,1.77102,1.38033,0.83209,0.84673,0.86071,0.59709,1.11745,1.35111,1.54416,0.0280519,0.00935065,0.0280519,0.00935065,0.0280519,0.00935065,0.0280519,0.00935065
15,3073.61,1.02485,1.68623,1.34621,0.85095,0.84783,0.85912,0.5965,1.16242,1.31388,1.55942,0.0279021,0.0093007,0.0279021,0.0093007,0.0279021,0.0093007,0.0279021,0.0093007
16,3274.41,1.06051,1.6923,1.37128,0.83081,0.85181,0.87278,0.62879,1.05307,1.27753,1.51261,0.0277523,0.00925075,0.0277523,0.00925075,0.0277523,0.00925075,0.0277523,0.00925075
17,3475.04,1.01707,1.58364,1.34475,0.82872,0.84422,0.86277,0.61315,1.05936,1.34891,1.48254,0.0276024,0.0092008,0.0276024,0.0092008,0.0276024,0.0092008,0.0276024,0.0092008
18,3675.66,1.03112,1.66997,1.35417,0.85807,0.85494,0.8756,0.63857,1.02657,1.23669,1.45785,0.0274525,0.00915085,0.0274525,0.00915085,0.0274525,0.00915085,0.0274525,0.00915085
19,3876.36,1.02383,1.63268,1.34586,0.89257,0.85577,0.88337,0.61921,1.11298,1.24391,1.50712,0.0273027,0.0091009,0.0273027,0.0091009,0.0273027,0.0091009,0.0273027,0.0091009
20,4077.21,1.02199,1.61838,1.34808,0.86769,0.87368,0.88689,0.66068,0.96167,1.14077,1.44523,0.0271528,0.00905095,0.0271528,0.00905095,0.0271528,0.00905095,0.0271528,0.00905095
21,4278.17,1.01286,1.56413,1.33458,0.861,0.87124,0.88825,0.63632,1.05443,1.17972,1.4648,0.027003,0.009001,0.027003,0.009001,0.027003,0.009001,0.027003,0.009001
22,4478.74,1.00212,1.57914,1.33402,0.88161,0.85679,0.88688,0.63888,1.06182,1.16469,1.47906,0.0268531,0.00895105,0.0268531,0.00895105,0.0268531,0.00895105,0.0268531,0.00895105
23,4678.95,1.00908,1.55693,1.33858,0.8705,0.85137,0.88666,0.62072,1.11954,1.21874,1.52088,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011
24,4879.37,0.99498,1.54698,1.32998,0.88367,0.8663,0.89435,0.66056,0.97109,1.16014,1.42391,0.0265534,0.00885115,0.0265534,0.00885115,0.0265534,0.00885115,0.0265534,0.00885115
25,5079.94,0.99582,1.53622,1.33179,0.87863,0.87118,0.88943,0.65431,0.99866,1.14672,1.43495,0.0264036,0.0088012,0.0264036,0.0088012,0.0264036,0.0088012,0.0264036,0.0088012
26,5280.83,0.99488,1.52087,1.33718,0.87104,0.8578,0.89009,0.65739,0.99275,1.17978,1.43646,0.0262537,0.00875125,0.0262537,0.00875125,0.0262537,0.00875125,0.0262537,0.00875125
27,5481.53,0.99169,1.51555,1.33007,0.86197,0.87147,0.89268,0.65619,1.0014,1.15027,1.4309,0.0261039,0.0087013,0.0261039,0.0087013,0.0261039,0.0087013,0.0261039,0.0087013
28,5682.04,0.97008,1.50215,1.30951,0.87395,0.86684,0.89428,0.66403,0.95495,1.14014,1.41704,0.025954,0.00865135,0.025954,0.00865135,0.025954,0.00865135,0.025954,0.00865135
29,5883.6,0.96568,1.47535,1.31193,0.87358,0.87058,0.89559,0.64821,1.03757,1.18655,1.44971,0.0258042,0.0086014,0.0258042,0.0086014,0.0258042,0.0086014,0.0258042,0.0086014
30,6084.52,0.97653,1.46033,1.31712,0.86738,0.86157,0.88537,0.66281,0.94762,1.15597,1.41301,0.0256543,0.00855145,0.0256543,0.00855145,0.0256543,0.00855145,0.0256543,0.00855145
31,6285.58,0.96701,1.46852,1.30701,0.89505,0.86916,0.89429,0.66362,0.97125,1.13733,1.3923,0.0255045,0.0085015,0.0255045,0.0085015,0.0255045,0.0085015,0.0255045,0.0085015
32,6486.61,0.96586,1.44525,1.30289,0.88611,0.86723,0.8958,0.67458,0.91391,1.09136,1.42601,0.0253546,0.00845155,0.0253546,0.00845155,0.0253546,0.00845155,0.0253546,0.00845155
33,6687.5,0.97231,1.44824,1.31247,0.86269,0.8738,0.89086,0.6555,1.00991,1.14155,1.42853,0.0252048,0.0084016,0.0252048,0.0084016,0.0252048,0.0084016,0.0252048,0.0084016
