epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,228.934,1.11598,1.40727,1.47814,0.81776,0.86794,0.8928,0.53728,1.37502,0.87297,1.72117,0.00999494,0.00333165,0.00999494,0.00333165,0.00999494,0.00333165,0.00999494,0.00333165
2,441.564,1.07205,0.94138,1.44569,0.78434,0.87462,0.84004,0.50572,1.41965,0.8329,1.81758,0.019863,0.00662099,0.019863,0.00662099,0.019863,0.00662099,0.019863,0.00662099
3,650.953,1.10458,1.00679,1.47531,0.70282,0.89065,0.89064,0.6072,1.1211,0.90216,1.51152,0.029599,0.00986634,0.029599,0.00986634,0.029599,0.00986634,0.029599,0.00986634
4,857.021,1.12884,1.0434,1.50102,0.83102,0.85675,0.88056,0.56244,1.27407,0.84177,1.62573,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1067.04,1.09366,0.95296,1.46598,0.83673,0.89866,0.8738,0.64375,0.95887,0.68062,1.37779,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1276.73,1.0501,0.88122,1.42967,0.88534,0.91989,0.93306,0.64966,1.08258,0.58648,1.45669,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1479.35,1.02015,0.84314,1.40475,0.85482,0.92006,0.93262,0.66645,1.04071,0.63324,1.40965,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1687.4,0.9964,0.82317,1.39341,0.87835,0.93048,0.9339,0.64896,1.08332,0.62678,1.44573,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1892.85,0.98495,0.79315,1.37381,0.9082,0.9445,0.9461,0.67539,1.04586,0.53414,1.41225,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,2105.09,0.9719,0.76575,1.37222,0.89761,0.92581,0.94611,0.70295,0.95962,0.54357,1.35395,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2314.17,0.95731,0.74976,1.35382,0.90305,0.94336,0.95423,0.70548,0.93773,0.49861,1.33724,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2517.35,0.94156,0.72584,1.33644,0.91491,0.93543,0.9507,0.70532,0.97236,0.51278,1.36613,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2716.84,0.94077,0.74209,1.34211,0.92046,0.93989,0.95317,0.67126,1.07207,0.53433,1.43235,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2915.67,0.93277,0.719,1.33552,0.89733,0.93224,0.94211,0.68763,0.97545,0.56183,1.38234,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,3109.57,0.93048,0.70419,1.3372,0.92301,0.92478,0.95901,0.68442,1.06674,0.50291,1.42826,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,3303.4,0.91022,0.69738,1.31515,0.91985,0.92927,0.96062,0.70295,1.01,0.49511,1.39313,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,3497.14,0.90782,0.69616,1.31793,0.92431,0.93864,0.95858,0.7069,0.98672,0.47378,1.3736,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,3692.04,0.89963,0.68766,1.30844,0.91014,0.94396,0.96132,0.71689,0.93879,0.49123,1.32103,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,3888.23,0.89965,0.65957,1.31565,0.91451,0.94141,0.97014,0.71509,0.99139,0.46439,1.36393,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
