epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,351.142,1.16281,1.45047,1.5343,0.79124,0.90292,0.91565,0.6318,1.08756,0.75097,1.44544,0.00999514,0.00333171,0.00999514,0.00333171,0.00999514,0.00333171,0.00999514,0.00333171
2,667.745,1.10585,0.98097,1.48375,0.85607,0.91058,0.92343,0.57281,1.30477,0.68072,1.63388,0.0198632,0.00662106,0.0198632,0.00662106,0.0198632,0.00662106,0.0198632,0.00662106
3,978.992,1.14402,1.05629,1.50894,0.85093,0.90168,0.90142,0.54285,1.32919,0.77482,1.6594,0.0295992,0.0098664,0.0295992,0.0098664,0.0295992,0.0098664,0.0295992,0.0098664
4,1288.6,1.13271,1.04606,1.50998,0.84057,0.88654,0.89467,0.52402,1.38858,0.9855,1.71527,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1599.21,1.11529,0.98863,1.49571,0.87361,0.92773,0.93955,0.5997,1.23273,0.63934,1.5582,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1908.98,1.07964,0.93077,1.46512,0.8789,0.89897,0.93726,0.61291,1.18509,0.6176,1.50998,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2221.9,1.05834,0.88682,1.44667,0.8707,0.91061,0.92582,0.56178,1.30043,0.63418,1.63934,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2492.5,1.0353,0.86543,1.42565,0.88877,0.93014,0.95152,0.64187,1.11562,0.58001,1.478,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,2806.81,1.02522,0.82938,1.41825,0.90182,0.92039,0.95473,0.66246,1.09558,0.58891,1.44459,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,3121.91,0.99538,0.80756,1.39543,0.86955,0.9251,0.94138,0.70338,0.93674,0.56985,1.32121,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,3443.83,0.99195,0.78831,1.39358,0.91191,0.9104,0.94213,0.64573,1.13461,0.53725,1.45737,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,3755.52,0.99236,0.78581,1.39291,0.90168,0.93056,0.96106,0.66648,1.12446,0.53263,1.44943,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,4075.43,0.97373,0.75501,1.38297,0.9023,0.92265,0.95465,0.68089,1.06082,0.5556,1.38713,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,4394.88,0.96641,0.74766,1.37341,0.92686,0.91795,0.95989,0.70807,0.94825,0.49642,1.31719,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,4724.03,0.95452,0.74918,1.36098,0.89735,0.92863,0.9525,0.68172,1.06797,0.54004,1.40543,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,5006.12,0.94667,0.72032,1.35401,0.89785,0.93733,0.95061,0.65145,1.15766,0.54574,1.47852,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,5202.44,0.93939,0.72673,1.35237,0.91761,0.93122,0.96032,0.68786,1.07081,0.5201,1.40817,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,5392.81,0.92746,0.6984,1.34185,0.91801,0.92744,0.95883,0.67667,1.05751,0.49423,1.40165,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,5585.3,0.92331,0.6971,1.33883,0.92026,0.93854,0.96201,0.68063,1.07309,0.51101,1.38779,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
