epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,517.587,1.20056,2.01304,0.01635,0.81162,0.84385,0.8853,0.49338,1.5055,0.79211,0.02484,0.00999676,0.00333225,0.00999676,0.00333225,0.00999676,0.00333225,0.00999676,0.00333225
2,982.715,1.1478,1.07231,0.01549,0.74906,0.83626,0.84441,0.61149,0.99332,0.71068,0.01531,0.0198648,0.00662159,0.0198648,0.00662159,0.0198648,0.00662159,0.0198648,0.00662159
3,1441.53,1.18385,1.09162,0.01607,0.71541,0.85873,0.88489,0.6003,1.11305,0.82256,0.01758,0.0296008,0.00986693,0.0296008,0.00986693,0.0296008,0.00986693,0.0296008,0.00986693
4,1935.35,1.20886,1.1001,0.01653,0.83168,0.89312,0.91618,0.65004,1.06222,0.54179,0.01646,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2403.6,1.1471,1.02505,0.01581,0.68571,0.85012,0.80972,0.5719,1.07479,0.87113,0.01647,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2848.64,1.10828,0.95732,0.01521,0.84069,0.87499,0.90946,0.68476,0.92924,0.56748,0.01418,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,3270.39,1.08747,0.93746,0.01482,0.85515,0.8781,0.92227,0.69048,0.96361,0.52248,0.01481,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3734.73,1.08724,0.89739,0.01487,0.82777,0.87046,0.9052,0.68542,0.9232,0.57581,0.01421,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,4208.26,1.07641,0.85994,0.0146,0.85642,0.88022,0.9294,0.72162,0.86185,0.50259,0.01327,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,4639.75,1.06222,0.84061,0.01425,0.85663,0.86972,0.91039,0.70137,0.89664,0.52154,0.01367,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
